地区,地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地区生产总值(亿元),年份
海南省,1011.17,481.01,3115.9,2013年
重庆市,3062.28,1693.24,13027.6,2013年
四川省,6220.91,2784.1,26518,2013年
贵州省,3082.66,1206.41,7973.1,2013年
云南省,4096.51,1611.3,12825.5,2013年
西藏自治区,1014.31,95.02,828.2,2013年
陕西省,3665.07,1748.33,15905.4,2013年
甘肃省,2309.62,607.27,6014.5,2013年
青海省,1228.05,223.86,1713.3,2013年
宁夏回族自治区,922.48,308.34,2327.7,2013年
新疆维吾尔自治区,3067.12,1128.49,8392.6,2013年
