sex2,edu1,edu2,sibsex,occj,medu1,safa,urban,jieduan,match1
1,1,1,1,1,1,-1.602185,0,0,1
2,1,1,1,1,1,-5.728693,1,0,1
1,2,1,1,2,2,-6.402111,1,0,1
1,1,1,1,1,1,-0.9217434,0,0,1
1,1,1,1,1,1,0.9875987,0,0,1
1,3,1,1,2,1,-7.963503,1,0,0
2,1,1,1,2,1,-2.374663,0,0,1
2,1,1,1,,1,-2.200613,0,0,1
2,1,1,1,1,1,1.220725,0,0,1
1,1,1,1,1,1,-5.425705,0,0,1
1,1,1,2,1,1,0.9153957,0,0,1
1,1,1,0,2,1,-3.534595,0,0,1
2,1,1,1,1,1,2.363969,0,0,1
1,1,1,1,1,1,-1.145061,0,0,1
1,1,1,1,1,1,-5.029554,0,0,1
2,1,1,2,1,1,0.9088249,0,0,1
1,1,1,2,,1,1.966739,0,0,1
2,1,1,2,1,1,-7.61792,0,0,1
2,2,1,1,1,1,-3.272824,0,0,0
1,1,1,2,2,1,-1.379698,1,0,1
1,1,1,1,,1,-4.637931,0,0,1
1,2,1,1,1,1,-6.586608,0,0,0
1,1,1,1,1,1,-0.0293202,0,0,1
2,1,1,1,1,1,-6.58063,0,0,1
2,1,1,1,1,1,-1.285065,0,0,1
1,3,1,1,1,1,-5.804829,0,0,0
1,1,1,2,2,1,-1.145061,0,0,1
2,1,1,2,1,1,-2.497453,0,0,1
1,1,1,1,,1,-8.572802,0,0,1
1,1,1,1,1,1,-7.138536,0,2,1
1,3,1,0,3,1,-9.43097,0,1,0
1,1,1,1,2,1,-1.309373,0,0,1
1,1,1,1,1,1,0.1695828,0,0,1
1,1,1,2,,1,-4.044875,0,0,1
2,1,1,2,1,1,-1.344262,0,2,1
1,3,1,1,2,3,-16.91338,0,2,1
1,1,1,1,1,1,0.1631355,0,0,1
1,2,1,1,,2,-12.3729,1,0,1
2,1,1,2,1,1,-2.821964,0,0,1
1,1,1,2,1,1,3.442536,0,0,1
1,3,1,1,2,1,-6.119823,1,0,0
1,1,1,2,1,1,3.000892,0,0,1
2,1,1,1,1,1,-0.0693028,0,0,1
1,1,1,1,1,1,-2.007101,0,0,1
2,2,1,1,1,1,-2.192367,0,0,0
2,1,1,2,2,1,1.701987,0,0,1
1,2,1,1,1,1,-5.156766,0,0,0
1,1,1,1,1,1,-2.94281,0,0,1
1,1,1,2,1,1,-3.260165,0,2,1
2,2,1,1,2,1,-2.6871,0,0,0
2,2,1,1,4,1,-7.439326,0,0,0
1,1,1,1,1,1,-0.5039949,0,0,1
1,3,1,0,,1,-2.443667,0,0,0
1,1,1,1,1,1,-2.570319,0,2,1
2,1,1,1,2,1,1.45706,0,0,1
1,1,1,2,1,1,-2.076833,0,0,1
2,2,1,1,4,1,-2.480858,0,0,0
1,1,1,0,1,1,0.8776014,0,0,1
1,1,1,1,1,1,2.335182,0,0,1
1,1,1,0,1,1,-6.407233,0,0,1
1,1,1,1,1,1,-5.390178,0,0,1
1,1,1,1,2,1,1.823534,1,0,1
2,1,1,2,2,1,0.2228804,0,0,1
1,1,1,0,,1,0.0592775,0,0,1
2,1,1,2,2,1,0.2893248,0,2,1
2,3,1,2,2,3,-14.91511,1,0,1
1,1,1,1,1,1,1.943254,0,0,1
1,3,1,1,1,1,-6.040655,0,0,0
1,2,1,0,,1,-0.9452288,0,0,0
1,1,1,2,1,1,3.219279,0,0,1
1,1,1,2,1,1,-2.242569,0,0,1
1,1,1,1,1,1,0.9368427,0,2,1
1,1,1,0,1,1,-1.889477,1,0,1
1,1,1,1,1,1,-2.037307,0,0,1
1,1,1,1,1,1,-0.1157368,0,0,1
1,1,1,2,1,1,-2.400436,0,0,1
2,1,1,1,1,1,1.4441,0,2,1
1,1,1,2,1,1,-0.9789851,0,0,1
1,1,1,1,2,1,-2.517615,0,0,1
1,1,1,0,2,1,-3.155448,1,0,1
1,1,1,1,,1,0.4326817,0,0,1
2,1,1,1,1,1,-5.666265,0,0,1
1,1,1,1,1,1,-0.9087366,0,0,1
1,1,1,1,4,1,-4.020779,0,0,1
1,1,1,2,1,1,-3.141378,0,0,1
2,1,1,2,1,1,-3.163014,0,0,1
1,3,1,2,1,1,-5.461672,0,0,0
2,2,1,1,1,2,-5.912188,0,2,1
2,1,1,1,2,1,-1.521293,0,0,1
2,1,1,2,2,1,0.1094422,1,0,1
2,1,1,1,1,1,-7.707973,0,0,1
