地区,年末常住人口(万人),地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政非税收入(亿元),地区生产总值(亿元),规模以上工业企业利润总额(亿元),第二产业增加值(亿元),第三产业增加值(亿元),全体居民人均可支配收入(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),规模以上工业企业R&D经费(万元),规模以上工业企业发明专利申请数(件),国内专利申请授权量(项),国内发明专利申请授权量(项),国内专利申请受理量(项),国内发明专利申请受理量(项),年份
黑龙江省,3171,5449.41,1152.51,811.92,340.59,13633.4,311.48,3449.9,6738.5,24902,31115,16168,774634,2650,28475,4598,43252,13163,2020年
上海市,2488,8102.11,7046.30,5841.88,1204.42,38963.3,2882.67,10258.6,28597.1,72232,76437,34911,6350087,17544,139780,24208,210293,81042,2020年
江苏省,8477,13681.55,9058.99,7413.86,1645.13,102807.7,7622.80,44631.3,53638.9,43390,53102,24198,23816885,62892,499167,45975,719452,177995,2020年
浙江省,6468,10082.01,7248.24,6261.75,986.49,64689.1,5807.04,26361.5,36161.3,52397,62699,31930,13958988,35319,391700,49888,507050,129708,2020年
安徽省,6105,7473.59,3216.01,2199.52,1016.48,38061.5,2439.55,15216.5,19660.1,28103,39442,16620,6394211,27083,119696,21432,202298,69663,2020年
福建省,4161,5216.10,3079.04,2184.72,894.32,43608.6,3949.87,20168.4,20709.3,37202,47160,20880,6669131,12934,145928,10250,174867,32929,2020年
江西省,4519,6674.08,2507.54,1701.92,805.63,25782.0,2591.34,11107.9,12430.2,28017,38556,16981,3460219,6949,80239,4407,109738,20285,2020年
山东省,10165,11233.52,6559.93,4757.62,1802.31,72798.2,4431.32,28456.7,38977.2,32886,43726,18753,13656187,27413,238778,26745,337280,74420,2020年
河南省,9941,10372.67,4168.84,2764.73,1404.11,54259.4,2823.18,22220.9,26684.5,24810,34750,16108,6855770,9899,122809,9183,178585,32609,2020年
湖北省,5745,8442.88,2511.54,1923.45,588.09,43004.5,2646.93,15933.8,22937.6,27881,36706,16306,6109588,18798,110102,17555,163613,47767,2020年
湖南省,6645,8403.13,3008.66,2057.98,950.69,41542.6,2559.92,15949.2,21352.7,29380,41698,16585,6645286,15169,78723,11537,128573,48530,2020年
广东省,12624,17430.79,12923.85,9881.95,3041.90,111151.6,9572.09,43868.1,62550.8,41029,50257,20143,24999527,127497,709725,70695,967204,215926,2020年
广西壮族自治区,5019,6179.47,1716.94,1113.22,603.72,22120.9,990.49,7046.8,11428.1,24562,35859,14815,1133332,2803,34470,3521,51712,12854,2020年
海南省,1012,1972.46,816.06,559.82,256.24,5566.2,133.15,1072.2,3358.0,27904,37097,16279,117021,411,8578,721,14360,2618,2020年
重庆市,3209,4893.95,2094.85,1430.72,664.13,25041.4,1506.53,9969.6,13268.3,30824,40006,16361,3725610,6300,55377,7637,83826,22273,2020年
四川省,8371,11198.54,4260.89,2967.20,1293.69,48501.6,3386.38,17505.6,25439.2,26522,38253,15929,4276383,13439,108386,14187,160036,41417,2020年
贵州省,3858,5739.50,1786.80,1086.04,700.76,17860.4,1174.41,6263.0,9057.5,21795,36096,11642,1053574,3475,34971,2268,49200,10693,2020年
云南省,4722,6974.02,2116.69,1453.07,663.62,24555.7,1115.02,8387.5,12556.5,23295,37500,12842,1451454,3131,28943,2458,45153,9753,2020年
西藏自治区,366,2210.92,220.99,143.24,77.75,1902.7,19.17,714.9,1037.5,21744,41156,14598,8944,29,1702,96,2296,477,2020年
陕西省,3955,5930.32,2257.31,1752.14,505.17,26014.1,2037.07,11222.0,12524.4,26226,37868,13316,2684020,6445,60524,12122,99236,38262,2020年
甘肃省,2501,4163.40,874.55,567.93,306.62,8979.7,300.06,2824.8,4966.7,20335,33822,10344,521334,1229,20991,1446,30732,5684,2020年
